team1,team2,total_matches,team1_wins,team2_wins
Chennai Super Kings,Mumbai Indians,22,10,12
Royal Challengers Bangalore,Kolkata Knight Riders,19,9,10
Royal Challengers Bangalore,Mumbai Indians,19,7,12
Kolkata Knight Riders,Mumbai Indians,18,7,11
Royal Challengers Bangalore,Chennai Super Kings,18,8,10
Chennai Super Kings,Rajasthan Royals,17,11,6
Mumbai Indians,Rajasthan Royals,17,8,9
Kolkata Knight Riders,Rajasthan Royals,16,9,7
Mumbai Indians,Kolkata Knight Riders,16,12,4
Kolkata Knight Riders,Chennai Super Kings,15,5,10
Kolkata Knight Riders,Kings XI Punjab,15,10,5
Mumbai Indians,Chennai Super Kings,15,8,7
Rajasthan Royals,Royal Challengers Bangalore,15,6,9
Sunrisers Hyderabad,Kolkata Knight Riders,15,6,9
Chennai Super Kings,Kolkata Knight Riders,14,9,5
