venue,bowling_team,avg_economy
MA Chidambaram Stadium,Royal Challengers Bangalore,3.71
Nehru Stadium,Sunrisers Hyderabad,4.38
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Royal Challengers Bangalore,4.86
Buffalo Park,Delhi Capitals,5.33
Subrata Roy Sahara Stadium,Kolkata Knight Riders,5.5
Maharashtra Cricket Association Stadium,Pune Warriors,5.73
"Zayed Cricket Stadium, Abu Dhabi",Delhi Capitals,5.8
"Sawai Mansingh Stadium, Jaipur",Royal Challengers Bangalore,5.82
Subrata Roy Sahara Stadium,Mumbai Indians,5.84
Kingsmead,Rajasthan Royals,6.09
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rajasthan Royals,6.12
Eden Gardens,Kochi Tuskers Kerala,6.21
"Sardar Patel Stadium, Motera",Royal Challengers Bangalore,6.21
St George's Park,Mumbai Indians,6.21
MA Chidambaram Stadium,Mumbai Indians,6.23
